Load,JW_pump,RC_Superheat,RC_Subcool,ORC_Superheat,ORC_Subcool,ORC_Pump,P_chamber,WHRS_cycle_output,CO2_red,EPC,rankValue,Time
100,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,492.0603125452949,14.090830870748693,0.2531792935831716,1285.0045372008653,5.467368125915527
62.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,375.396901095341,16.681364114597873,0.3318607105360533,986.960929321889,4.563477039337158
67.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,392.0783951685968,16.22116998572769,0.31774125752826093,1029.477585242526,3.1702611446380615
72.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,409.58072753491774,15.84708588017526,0.3041634382562878,1074.2079553769283,3.9518699645996094
77.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,433.3360550590438,15.848538062668805,0.28748930737729156,1135.4891036040508,4.176529884338379
82.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,449.5530364277564,15.509012984572257,0.277118542720715,1176.9420759959967,4.457817077636719
87.5,4.15,0.0001,0.0001,25.0,10.0,6.6,0.2,476.03163415948075,15.350750663609613,0.2617042091131187,1245.0687184063925,4.238858938217163
92.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,499.2728786751033,15.248358862414902,0.24952182994822997,1304.9066677826982,4.412928819656372
92.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,499.2728786751033,15.248358862414902,0.24952182994822997,1304.9066677826982,4.62139105796814
102.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,502.4643592855402,14.045265272353047,0.2479369531953935,1311.7915278491257,5.1171650886535645
