P_ORC,CO2_red,EPC,Exergy_eff_WHRS,CO2_red,EPC,Better
16.30,14.67,0.2380,19.08,18.77,0.3091,B
21.64,26.89,0.3556,17.83,17.24,0.2762,A
19.53,19.69,0.3203,17.91,17.24,0.2781,A
17.54,16.90,0.2705,20.90,24.02,0.3485,B
20.30,21.58,0.3322,20.60,23.13,0.3470,B
16.90,16.41,0.2554,18.40,17.73,0.2925,B
17.76,16.99,0.2769,16.60,14.99,0.2370,A
19.92,20.52,0.3273,16.34,14.79,0.2378,X
20.31,22.00,0.3404,18.55,17.96,0.2943,A
16.29,14.66,0.2379,16.30,14.94,0.2399,X
21.65,26.88,0.3557,19.38,19.30,0.3143,A
21.13,24.77,0.3515,16.36,14.78,0.2380,A
18.24,17.51,0.2869,21.57,26.59,0.3551,B
19.12,18.89,0.3094,20.70,23.35,0.3466,B
18.82,18.35,0.2997,19.87,20.42,0.3270,B
16.24,16.16,0.2424,17.23,16.56,0.2656,X
16.30,14.75,0.2380,19.92,20.37,0.3245,X
18.45,17.82,0.2933,18.26,17.56,0.2864,A
16.32,14.71,0.2381,18.18,17.47,0.2856,B
21.03,24.32,0.3494,18.37,17.72,0.2907,A
20.20,21.29,0.3304,21.42,26.26,0.3566,B
18.28,17.55,0.2855,19.13,18.91,0.3133,B
21.34,25.96,0.3571,20.60,22.57,0.3376,A
16.25,14.64,0.2378,21.60,26.78,0.3560,X
20.24,21.75,0.3386,16.91,16.37,0.2539,A
18.45,17.81,0.2931,16.06,16.00,0.2418,A
19.12,18.90,0.3121,16.39,14.76,0.2373,X
20.06,21.17,0.3341,19.83,20.16,0.3211,A
16.33,14.67,0.2366,16.91,16.39,0.2581,B
16.37,15.02,0.2409,21.02,24.66,0.3530,X
17.16,16.56,0.2619,19.86,20.22,0.3239,B
21.68,27.00,0.3555,16.40,15.20,0.2410,A
17.42,16.82,0.2685,20.34,21.89,0.3375,B
20.98,24.32,0.3512,19.68,19.85,0.3189,A
16.98,16.27,0.2606,15.97,14.32,0.2377,A
16.31,14.88,0.2393,20.56,22.71,0.3420,X
18.47,17.84,0.2944,17.09,16.56,0.2548,A
20.56,22.65,0.3413,16.33,14.83,0.2384,X
19.58,19.82,0.3222,18.91,18.42,0.2996,A
19.25,19.14,0.3138,21.51,26.37,0.3545,B
21.07,24.50,0.3501,16.84,16.43,0.2534,A
17.07,16.27,0.2612,16.12,16.09,0.2430,A
19.45,19.50,0.3178,16.70,16.27,0.2500,A
18.40,17.71,0.2904,16.28,14.62,0.2376,A
17.29,16.58,0.2640,17.36,16.79,0.2640,B
16.65,16.26,0.2538,16.66,15.00,0.2353,X
16.81,16.31,0.2543,19.17,18.94,0.3120,B
21.07,24.16,0.3448,21.29,25.83,0.3570,B
16.90,16.34,0.2556,21.59,26.73,0.3559,X
21.69,26.89,0.3553,21.48,25.89,0.3502,A
