P_ORC,CO2_red,EPC,Exergy_eff_WHRS,CO2_red,EPC,Better
16.99,16.45,0.2553,18.75,18.31,0.3050,X
21.12,25.28,0.3561,17.88,17.24,0.2778,A
17.04,16.25,0.2565,21.86,27.19,0.3523,B
17.01,16.18,0.2572,16.51,16.19,0.2463,X
19.56,19.83,0.3224,17.78,17.10,0.2743,A
20.25,22.13,0.3436,20.07,20.86,0.3288,X
18.26,17.63,0.2880,20.29,21.51,0.3341,B
16.97,16.44,0.2553,20.88,24.03,0.3500,B
19.70,20.07,0.3224,21.65,26.80,0.3543,B
20.30,21.93,0.3384,16.27,14.73,0.2373,A
18.95,18.58,0.3065,17.00,16.38,0.2562,X
16.62,16.09,0.2451,17.42,16.68,0.2688,X
20.91,23.96,0.3477,16.91,16.40,0.2551,A
16.94,16.39,0.2557,20.27,21.43,0.3334,B
20.83,23.70,0.3474,18.65,18.14,0.2994,A
19.53,19.57,0.3143,20.14,21.40,0.3373,X
21.55,26.50,0.3544,19.52,19.71,0.3216,A
20.92,24.40,0.3532,20.36,21.38,0.3299,X
16.36,15.94,0.2489,16.32,14.67,0.2343,X
21.06,24.19,0.3443,21.39,26.21,0.3569,X
21.17,25.43,0.3551,16.28,14.77,0.2374,A
16.26,14.70,0.2390,19.26,19.14,0.3157,B
18.22,17.60,0.2871,21.24,25.74,0.3556,B
19.54,19.76,0.3210,16.26,14.72,0.2374,A
17.34,16.63,0.2670,16.31,14.66,0.2353,X
18.40,17.80,0.2923,18.54,18.03,0.2984,X
20.05,21.18,0.3359,18.80,18.34,0.3014,A
17.52,16.93,0.2653,17.97,17.26,0.2815,X
16.33,14.81,0.2388,18.34,17.72,0.2920,X
20.07,21.10,0.3339,16.90,16.35,0.2543,A
16.24,14.59,0.2371,17.11,16.51,0.2622,X
16.31,14.63,0.2384,16.22,14.77,0.2382,X
21.81,27.04,0.3503,16.63,15.69,0.2470,A
18.12,17.44,0.2869,16.85,16.31,0.2512,X
19.71,20.05,0.3218,20.86,24.07,0.3513,B
20.42,22.62,0.3445,17.86,17.18,0.2782,A
16.29,14.75,0.2391,20.85,23.68,0.3481,B
16.92,16.36,0.2545,19.48,19.63,0.3241,B
18.37,17.78,0.2919,20.80,23.63,0.3488,B
18.38,17.77,0.2925,16.25,14.63,0.2363,A
21.81,26.99,0.3501,18.39,17.82,0.2935,A
18.23,17.59,0.2865,19.50,19.80,0.3271,X
20.91,24.24,0.3512,19.40,19.41,0.3187,A
19.41,19.49,0.3183,19.20,19.00,0.3109,X
21.36,26.13,0.3570,20.82,23.10,0.3395,A
20.87,23.76,0.3476,16.28,14.68,0.2362,A
20.69,22.93,0.3407,20.80,23.99,0.3523,X
16.28,14.73,0.2392,20.45,21.94,0.3362,B
16.29,14.73,0.2392,19.95,20.84,0.3336,B
16.29,14.80,0.2398,21.25,25.76,0.3554,B
