Load,JW_pump,RC_Superheat,RC_Subcool,ORC_Superheat,ORC_Subcool,ORC_Pump,P_chamber,WHRS_cycle_output,CO2_red,EPC,rankValue,Time
100,4.15,0.0001,0.0001,0.0001,0.0001,6.6,0.2,499.85092591129944,14.282063336201878,0.24923327310718937,1305.315260308116,4.172482013702393
60,4.15,0.0001,0.0001,0.0001,0.0001,0.2,0.2,375.41891499864425,17.257315931670934,0.33184125080906557,987.6629462346523,0
65,4.15,0.0001,0.0001,0.0001,0.0001,0.2,0.2,391.6554982523261,16.72558147620923,0.31808434424242754,1028.9517507184173,0
70,4.15,0.0001,0.0001,0.0001,0.0001,0.2,0.2,408.71117977352776,16.291679292090667,0.30481055693060194,1072.462923609397,0
75,4.15,0.0001,0.0001,0.0001,0.0001,0.2,0.2,426.5859595622493,15.937689504730724,0.292038402900959,1118.176386311063,0
80,4.15,0.0001,0.0001,0.0001,0.0001,0.2,0.2,456.43965922500695,16.252241891111872,0.27293746240643724,1195.5394001220873,0
85,4.15,0.0001,0.0001,0.0001,0.0001,0.2,0.2,457.93435664785375,15.22421377433888,0.27204659471823067,1198.2434290001222,0
90,4.15,0.0001,0.0001,0.0001,0.0001,0.2,0.2,531.1748441981044,16.43906225476721,0.2345357346856392,1388.5339682860395,0
95,4.15,0.0001,0.0001,0.0001,0.0001,0.2,0.2,483.8685455682272,14.513725989929693,0.2574655523107695,1264.3469797088214,0
100,4.15,0.0001,0.0001,0.0001,0.0001,0.2,0.2,499.85092591129944,14.282063336201878,0.24923327310718937,1305.315260308116,0
