Load,JW_pump,RC_Superheat,RC_Subcool,ORC_Superheat,ORC_Subcool,ORC_Pump,P_chamber,WHRS_cycle_output,CO2_red,EPC,rankValue,Time
100,4.15,0.0001,0.0001,0.0001,0.0001,6.6,0.2,499.85092591129944,14.282063336201878,0.24923327310718937,1305.315260308116,4.172482013702393
62.5,4.15,11.347163105185963,0.0001,0.0001,0.0001,6.6,0.2,382.3650778405355,16.938557329252113,0.32581291951167146,1005.2244531889309,4.928927898406982
67.5,4.15,0.0001,0.0001,0.0001,0.0001,6.6,0.2,400.0809517294869,16.497632849912193,0.3113856878014184,1050.4309209833468,4.385150909423828
72.5,4.15,0.0001,0.0001,0.0001,0.0001,6.6,0.2,417.54618238444857,16.105641057488018,0.2983609660112469,1095.045428338031,4.195439100265503
77.5,4.15,0.0001,0.0001,0.0001,0.0001,6.6,0.2,441.25115300261484,16.089321356190702,0.2823323666868563,1156.1766579840323,5.463566064834595
82.5,4.15,0.0001,0.0001,0.0001,0.0001,6.6,0.2,457.4337573666362,15.736076899945072,0.2723443128633838,1197.525518130304,4.406421899795532
87.5,4.15,0.0001,0.0001,0.0001,0.0001,6.6,0.2,493.4628616880616,15.823913369324016,0.2524596925174163,1290.5640650435353,3.92842173576355
90.00722548516404,4.15,25.0,0.0001,7.333063780166279,0.0016452952114585058,6.6,0.2,525.0975522353776,16.280507902805972,0.23725016770729296,1372.679563003454,5.590943813323975
92.5,4.15,0.0001,0.0001,0.0001,0.0001,6.6,0.2,507.0482027333111,15.449139421871926,0.24569554069804417,1325.1886277239018,4.411378860473633
102.5,4.15,0.0001,0.0001,0.0001,0.0001,6.6,0.2,510.23291799442546,14.231513814166586,0.24416198551088675,1332.0397476208068,4.568731784820557
